threads throughput
1 59731135
2 19965372
3 22021516
4 20197545
5 21479494
6 21416514
7 22266991
8 22541273
9 23246053
10 23364351
11 23847188
12 24268029
13 25338025
14 26078190
15 26936856
16 27370712
17 28345534
18 29068294
19 29968308
20 31020562
21 31786648
22 32838244
23 33761989
24 34746957
