threads throughput
1 81297958
2 160263017
3 238591260
4 315255019
5 394319074
6 479623764
7 558125670
8 639011808
9 732103196
10 815388998
11 869384935
12 735152652
13 778558131
14 830840377
15 862726573
16 927612862
17 987283010
18 1041858559
19 1089708275
20 1140766672
21 1204454370
22 1252380854
23 1301049737
24 1307231748
