threads throughput
1 46644292
2 21030593
3 20576516
4 21743265
5 22020252
6 21823410
7 22128757
8 22253456
9 22534066
10 22458743
11 22618010
12 22669475
13 23232552
14 23808117
15 24434995
16 24854859
17 25581832
18 26318493
19 26970920
20 27863797
21 28651845
22 29397870
23 30221995
24 31433058
