threads throughput
1 208835629
2 417662365
3 664911719
4 828255832
5 1046173088
6 1197578740
7 1406839293
8 1595744921
9 1744220471
10 1847977738
11 2072138261
12 1365885303
13 1524173346
14 1497107008
15 1630251252
16 1706819259
17 1828643080
18 1933761397
19 2038330369
20 2146356550
21 2163617575
22 2357892842
23 2421093000
24 2484468382
