threads throughput
1 26813646
2 7301222
3 7813897
4 5624541
5 4507083
6 4073465
7 4165983
8 5140686
9 5463400
10 5189326
11 5307852
12 5021149
13 5038032
14 5331763
15 5209470
16 5235650
17 5028793
18 4928799
19 5010214
20 4712899
21 4736127
22 4673391
23 4585145
24 4377970
